Timestamp,Hour_of_Day,Day_of_Week,Month,Temperature_C,Rainfall_mm,Current_Demand,Lag_1_Demand,Lag_24_Demand
2025-01-03 00:00:00,0,4,1,6.6,0.0,33.75,44.48,42.23
2025-01-03 01:00:00,1,4,1,8.1,2.6,30.58,33.75,22.65
2025-01-03 02:00:00,2,4,1,10.4,0.0,37.02,30.58,37.96
2025-01-03 03:00:00,3,4,1,10.4,0.0,39.24,37.02,26.31
2025-01-03 04:00:00,4,4,1,8.7,0.0,38.89,39.24,40.33
2025-01-03 05:00:00,5,4,1,10.6,0.0,44.53,38.89,57.33
2025-01-03 06:00:00,6,4,1,11.0,0.0,64.27,44.53,69.12
2025-01-03 07:00:00,7,4,1,13.8,0.0,85.12,64.27,84.89
2025-01-03 08:00:00,8,4,1,15.9,0.0,108.05,85.12,87.12
2025-01-03 09:00:00,9,4,1,15.6,0.0,106.52,108.05,101.48
2025-01-03 10:00:00,10,4,1,16.1,0.0,112.52,106.52,110.17
2025-01-03 11:00:00,11,4,1,15.9,0.0,100.36,112.52,103.99
2025-01-03 12:00:00,12,4,1,15.8,0.0,103.21,100.36,89.5
2025-01-03 13:00:00,13,4,1,15.7,0.0,89.6,103.21,92.73
2025-01-03 14:00:00,14,4,1,14.8,0.0,74.99,89.6,81.35
2025-01-03 15:00:00,15,4,1,16.8,0.0,86.22,74.99,74.55
2025-01-03 16:00:00,16,4,1,12.3,0.0,58.82,86.22,62.0
2025-01-03 17:00:00,17,4,1,13.1,0.0,67.17,58.82,60.76
2025-01-03 18:00:00,18,4,1,11.3,0.0,73.18,67.17,65.04
2025-01-03 19:00:00,19,4,1,10.2,0.0,64.56,73.18,73.16
2025-01-03 20:00:00,20,4,1,5.5,0.0,54.91,64.56,69.03
2025-01-03 21:00:00,21,4,1,9.7,0.0,68.34,54.91,59.29
2025-01-03 22:00:00,22,4,1,8.8,0.0,58.88,68.34,54.78
2025-01-03 23:00:00,23,4,1,4.3,0.0,44.47,58.88,44.48
2025-01-04 00:00:00,0,5,1,2.9,0.0,40.09,44.47,33.75
2025-01-04 01:00:00,1,5,1,5.2,0.0,32.43,40.09,30.58
2025-01-04 02:00:00,2,5,1,5.8,0.0,32.92,32.43,37.02
2025-01-04 03:00:00,3,5,1,6.3,0.0,35.64,32.92,39.24
2025-01-04 04:00:00,4,5,1,7.1,0.0,32.08,35.64,38.89
2025-01-04 05:00:00,5,5,1,9.6,0.0,59.41,32.08,44.53
2025-01-04 06:00:00,6,5,1,13.3,0.0,73.87,59.41,64.27
2025-01-04 07:00:00,7,5,1,13.9,0.0,92.2,73.87,85.12
2025-01-04 08:00:00,8,5,1,12.8,0.0,100.64,92.2,108.05
2025-01-04 09:00:00,9,5,1,15.8,1.1,110.51,100.64,106.52
2025-01-04 10:00:00,10,5,1,13.3,0.0,99.23,110.51,112.52
2025-01-04 11:00:00,11,5,1,15.2,0.0,102.67,99.23,100.36
2025-01-04 12:00:00,12,5,1,17.9,0.0,100.19,102.67,103.21
2025-01-04 13:00:00,13,5,1,16.9,0.0,89.65,100.19,89.6
2025-01-04 14:00:00,14,5,1,18.1,0.0,90.84,89.65,74.99
2025-01-04 15:00:00,15,5,1,15.8,0.0,81.33,90.84,86.22
2025-01-04 16:00:00,16,5,1,12.3,0.0,72.79,81.33,58.82
2025-01-04 17:00:00,17,5,1,9.9,0.0,76.45,72.79,67.17
2025-01-04 18:00:00,18,5,1,11.9,0.0,68.4,76.45,73.18
2025-01-04 19:00:00,19,5,1,11.4,0.0,76.18,68.4,64.56
2025-01-04 20:00:00,20,5,1,6.1,0.0,68.81,76.18,54.91
2025-01-04 21:00:00,21,5,1,3.8,0.0,69.04,68.81,68.34
2025-01-04 22:00:00,22,5,1,8.1,0.0,66.65,69.04,58.88
2025-01-04 23:00:00,23,5,1,6.1,0.0,55.28,66.65,44.47
2025-01-05 00:00:00,0,6,1,7.0,0.0,37.4,55.28,40.09
2025-01-05 01:00:00,1,6,1,7.1,5.4,11.13,37.4,32.43
2025-01-05 02:00:00,2,6,1,8.0,0.0,34.48,11.13,32.92
2025-01-05 03:00:00,3,6,1,6.0,0.0,27.12,34.48,35.64
2025-01-05 04:00:00,4,6,1,12.2,0.0,56.04,27.12,32.08
2025-01-05 05:00:00,5,6,1,10.3,0.0,57.65,56.04,59.41
2025-01-05 06:00:00,6,6,1,13.1,0.0,75.43,57.65,73.87
2025-01-05 07:00:00,7,6,1,15.3,0.0,88.29,75.43,92.2
2025-01-05 08:00:00,8,6,1,11.1,0.0,100.23,88.29,100.64
2025-01-05 09:00:00,9,6,1,16.3,0.0,109.52,100.23,110.51
2025-01-05 10:00:00,10,6,1,15.8,0.0,110.38,109.52,99.23
2025-01-05 11:00:00,11,6,1,11.9,3.2,89.14,110.38,102.67
2025-01-05 12:00:00,12,6,1,15.4,1.4,101.17,89.14,100.19
2025-01-05 13:00:00,13,6,1,17.4,0.0,92.39,101.17,89.65
2025-01-05 14:00:00,14,6,1,16.0,0.0,78.67,92.39,90.84
2025-01-05 15:00:00,15,6,1,14.8,0.0,87.89,78.67,81.33
2025-01-05 16:00:00,16,6,1,16.1,2.5,67.9,87.89,72.79
2025-01-05 17:00:00,17,6,1,10.7,0.0,50.28,67.9,76.45
2025-01-05 18:00:00,18,6,1,11.6,0.0,69.92,50.28,68.4
2025-01-05 19:00:00,19,6,1,8.9,0.0,69.72,69.92,76.18
2025-01-05 20:00:00,20,6,1,8.2,0.0,68.68,69.72,68.81
2025-01-05 21:00:00,21,6,1,8.5,0.0,82.04,68.68,69.04
2025-01-05 22:00:00,22,6,1,9.7,4.4,60.85,82.04,66.65
2025-01-05 23:00:00,23,6,1,7.7,6.6,40.01,60.85,55.28
2025-01-06 00:00:00,0,0,1,6.1,0.0,43.82,40.01,37.4
2025-01-06 01:00:00,1,0,1,4.9,0.0,28.52,43.82,11.13
2025-01-06 02:00:00,2,0,1,8.4,0.0,25.29,28.52,34.48
2025-01-06 03:00:00,3,0,1,5.6,0.0,32.71,25.29,27.12
2025-01-06 04:00:00,4,0,1,5.8,0.0,34.89,32.71,56.04
2025-01-06 05:00:00,5,0,1,10.1,0.0,65.44,34.89,57.65
2025-01-06 06:00:00,6,0,1,10.7,0.0,57.46,65.44,75.43
2025-01-06 07:00:00,7,0,1,11.6,0.0,74.3,57.46,88.29
2025-01-06 08:00:00,8,0,1,16.2,0.0,98.73,74.3,100.23
2025-01-06 09:00:00,9,0,1,15.2,0.0,103.44,98.73,109.52
2025-01-06 10:00:00,10,0,1,17.9,0.0,99.88,103.44,110.38
2025-01-06 11:00:00,11,0,1,16.7,12.6,81.08,99.88,89.14
2025-01-06 12:00:00,12,0,1,16.2,0.0,93.58,81.08,101.17
2025-01-06 13:00:00,13,0,1,13.6,0.0,78.96,93.58,92.39
2025-01-06 14:00:00,14,0,1,17.5,0.0,76.09,78.96,78.67
2025-01-06 15:00:00,15,0,1,18.4,2.0,68.94,76.09,87.89
2025-01-06 16:00:00,16,0,1,13.4,0.0,81.68,68.94,67.9
2025-01-06 17:00:00,17,0,1,9.1,0.0,60.83,81.68,50.28
2025-01-06 18:00:00,18,0,1,12.7,0.0,68.17,60.83,69.92
2025-01-06 19:00:00,19,0,1,8.8,0.0,63.09,68.17,69.72
2025-01-06 20:00:00,20,0,1,10.9,0.0,69.87,63.09,68.68
2025-01-06 21:00:00,21,0,1,5.0,0.0,59.09,69.87,82.04
2025-01-06 22:00:00,22,0,1,6.6,0.0,54.88,59.09,60.85
2025-01-06 23:00:00,23,0,1,9.5,0.0,56.39,54.88,40.01
2025-01-07 00:00:00,0,1,1,4.3,0.0,34.15,56.39,43.82
2025-01-07 01:00:00,1,1,1,7.3,0.0,25.56,34.15,28.52
2025-01-07 02:00:00,2,1,1,9.4,0.0,34.57,25.56,25.29
2025-01-07 03:00:00,3,1,1,8.9,0.0,38.73,34.57,32.71
2025-01-07 04:00:00,4,1,1,8.1,0.0,44.93,38.73,34.89
2025-01-07 05:00:00,5,1,1,10.9,0.0,43.65,44.93,65.44
2025-01-07 06:00:00,6,1,1,9.0,14.4,33.68,43.65,57.46
2025-01-07 07:00:00,7,1,1,12.6,0.0,80.07,33.68,74.3
2025-01-07 08:00:00,8,1,1,16.7,0.0,100.1,80.07,98.73
2025-01-07 09:00:00,9,1,1,14.5,0.0,109.55,100.1,103.44
